@relation mmcfeatures

@attribute mood {0,1}
@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute track_duration numeric
@attribute track_end_of_fade_in numeric
@attribute track_start_of_fade_out numeric
@attribute track_loudness numeric
@attribute track_tempo numeric
@attribute track_tempo_confidence numeric
@attribute track_time_signature numeric
@attribute track_time_signature_confidence numeric
@attribute track_key numeric
@attribute track_key_confidence numeric
@attribute track_mode numeric
@attribute track_mode_confidence numeric

@data
1,0.672,0.819,11,-4.457,1,0.0463,0.0371,0.000184,0.203,0.446,120.013,278036,4,278.03574,0.19701,266.73923,-4.457,120.013,0.803,4,1,11,0.822,1,0.612
0,0.208,0.521,6,-8.836,1,0.032,0.0138,0.399,0.0906,0.166,134.652,337640,4,337.64,0,330.37351,-8.836,134.652,0.485,4,0.918,6,0.856,1,0.652
0,0.186,0.0449,10,-20.632,1,0.0364,0.915,0.0155,0.121,0.0512,93.44,213720,4,213.72,0.88544,191.20472,-20.632,93.44,0.024,4,0.241,10,0.361,1,0.626
1,0.735,0.858,1,-3.609,0,0.0689,0.0465,0.00000429,0.0315,0.607,124.991,205640,4,205.64,0.09256,198.9834,-3.609,124.991,0.752,4,1,1,0.496,0,0.602
0,0.516,0.908,7,-5.002,0,0.0414,0.000376,0,0.128,0.441,127.026,228853,4,228.85333,0.11265,211.46993,-5.002,127.026,0.977,4,1,7,0.358,0,0.842
0,0.162,0.121,5,-17.713,1,0.0357,0.988,0.377,0.117,0.254,156.232,262693,3,262.69333,0.23406,257.94467,-17.713,156.232,0.267,3,0.868,5,0.826,1,0.823
0,0.499,0.0875,5,-20.383,1,0.05,0.871,0.000221,0.11,0.418,153.439,139000,4,139,0.49365,132.59755,-20.383,153.439,0.418,4,0.954,5,0.355,1,0.456
0,0.421,0.00683,0,-29.674,0,0.0392,0.996,0.951,0.154,0.148,73.402,131347,5,131.34667,0.27855,114.17252,-29.674,73.402,0.107,5,0.338,0,0.37,0,0.635
0,0.457,0.185,3,-12.82,1,0.0554,0.479,0,0.612,0.28,92.698,351747,4,351.74667,0.12744,351.74667,-12.82,92.698,0,4,0.659,3,0.582,1,0.702
0,0.581,0.28,4,-9.091,0,0.0381,0.936,0.0000156,0.305,0.813,137.831,126533,4,126.53333,0.37143,120.6741,-9.091,137.831,0.8,4,1,4,0.527,0,0.596
0,0.152,0.192,9,-12.719,1,0.0336,0.894,0.00632,0.127,0.166,175.725,221120,3,221.12,2.38585,202.48961,-12.719,175.725,0.175,3,0.067,9,0.554,1,0.6
0,0.598,0.287,3,-9.218,1,0.0298,0.589,0,0.0981,0.185,143.898,245200,4,245.2,2.85025,233.01805,-9.218,143.898,0.167,4,0.982,3,0.515,1,0.605
1,0.573,0.896,0,-6.462,1,0.0341,0.61,0.0157,0.23,0.549,120.006,212333,4,212.33333,0,209.11891,-6.462,120.006,0.755,4,0.99,0,0.126,1,0.354
0,0.667,0.423,9,-7.146,0,0.0822,0.313,0,0.193,0.156,125.116,236120,4,236.12,0,233.80172,-7.146,125.116,0.239,4,1,9,0,0,0.148
0,0.16,0.725,9,-9.383,0,0.0355,0.0779,0.0556,0.197,0.387,176.205,335000,4,335,0.17043,330.48381,-9.383,176.205,0.168,4,0.89,9,0.533,0,0.63
1,0.659,0.945,8,-3.746,1,0.271,0.00894,0.000933,0.291,0.6,119.928,236133,4,236.13333,0,233.32571,-3.746,119.928,0.814,4,0.85,8,0.606,1,0.553
1,0.668,0.857,7,-2.944,0,0.0535,0.0191,0.00000671,0.0385,0.748,131.959,215693,4,215.69333,0.21469,205.43855,-2.944,131.959,0.691,4,1,7,0.435,0,0.517
0,0.351,0.884,3,-3.564,1,0.0402,0.00182,0,0.117,0.522,152.014,194947,4,194.94667,0.14435,188.18612,-3.564,152.014,0.337,4,0.972,3,0.619,1,0.671
1,0.793,0.698,11,-3.626,1,0.104,0.163,0.145,0.0745,0.339,130.017,285571,4,285.57061,0.48168,283.19057,-3.626,130.017,0.871,4,1,11,0.566,1,0.42
1,0.789,0.723,7,-6.481,0,0.0918,0.0295,0.000678,0.157,0.324,110.065,223795,4,223.79474,0.26812,217.362,-6.481,110.065,0.824,4,0.995,7,0.327,0,0.621
0,0.607,0.585,4,-7.49,0,0.0401,0.0673,0.0000603,0.427,0.182,94.315,277333,4,277.33333,0.26132,257.02748,-7.49,94.315,0.713,4,0.962,4,0.649,0,0.494
1,0.582,0.902,4,-3.647,1,0.0622,0.00662,0,0.19,0.91,124.993,173440,4,173.44,0.33655,165.88916,-3.647,124.993,0.942,4,1,4,0.417,1,0.459
1,0.641,0.884,1,-5.72,1,0.0373,0.00454,0.000018,0.0662,0.725,120.006,231981,4,231.98059,3.81968,225.94177,-5.72,120.006,0.827,4,1,1,0.656,1,0.564
0,0.515,0.705,0,-7.055,0,0.0333,0.224,0.0000133,0.17,0.532,76.078,263560,4,263.56,0.40626,248.54059,-7.055,76.078,0.366,4,1,0,0.134,0,0.426
1,0.888,0.788,1,-6.25,1,0.0519,0.113,0.0000443,0.046,0.87,118.998,241520,4,241.52,0,241.52,-6.25,118.998,0.878,4,1,1,0.134,1,0.251
1,0.922,0.851,7,-6.848,1,0.237,0.221,0,0.0875,0.812,94.009,171627,4,171.62667,0.14853,160.58921,-6.848,94.009,0.824,4,1,7,0.56,1,0.523
1,0.597,0.786,5,-4.248,1,0.0419,0.00345,0,0.0909,0.666,99.888,238973,4,238.97333,0.55152,235.35746,-4.248,99.888,0.523,4,1,5,0.663,1,0.523
1,0.89,0.964,0,-4.7,1,0.186,0.0034,0.394,0.102,0.231,126.973,213960,4,213.96,0.09283,210.08834,-4.7,126.973,0.93,4,1,0,0.811,1,0.566
1,0.509,0.962,6,-4.053,0,0.0441,0.000712,0.00406,0.0587,0.845,134.572,243189,4,243.18893,0,243.18893,-4.053,134.572,0.762,4,0.989,6,0.31,0,0.454
1,0.782,0.409,8,-15.431,1,0.224,0.00171,0.00998,0.105,0.426,128.005,380625,4,380.62499,0,367.66476,-15.431,128.005,1,4,1,8,0.506,1,0.505
1,0.764,0.932,9,-3.059,0,0.189,0.121,0,0.103,0.911,121.046,165467,4,165.46667,0,162.64417,-3.059,121.046,0.56,4,1,9,0.091,0,0.228
0,0.384,0.685,4,-5.724,0,0.0356,0.513,0,0.098,0.202,92.166,380200,4,380.2,3.10567,371.18839,-5.724,92.166,0.247,4,0.886,4,0.306,0,0.461
1,0.741,0.72,5,-4.702,0,0.0486,0.0334,0.00001,0.128,0.826,118.031,216947,4,216.94667,0.26707,210.26249,-4.702,118.031,0.952,4,1,5,0.026,0,0.141
1,0.907,0.524,0,-7.125,0,0.0425,0.0594,0.131,0.0841,0.702,116.016,220507,4,220.50667,0.17415,216.46222,-7.125,116.016,0.854,4,1,0,0.678,0,0.79
0,0.412,0.577,7,-4.944,1,0.119,0.163,0,0.0969,0.345,173.675,236400,4,236.4,0.1483,230.87601,-4.944,173.675,0.11,4,1,7,0.437,1,0.58
0,0.177,0.231,9,-13.737,0,0.0341,0.81,0.706,0.0763,0.0373,174.943,305107,4,305.10667,0,297.01805,-13.737,174.943,0.05,4,0.92,9,0.29,0,0.423
0,0.351,0.142,5,-14.556,1,0.0394,0.679,0.000797,0.107,0.182,85.87,307773,4,307.77333,0.69107,289.88952,-14.556,85.87,0.139,4,0.893,5,1,1,0.65
1,0.797,0.502,10,-3.925,0,0.0968,0.0154,0,0.1,0.385,106.997,236520,4,236.52,0,232.75102,-3.925,106.997,0.634,4,1,10,0.864,0,0.717
0,0.686,0.172,8,-14.979,1,0.0409,0.909,0.00154,0.286,0.563,133.899,353947,4,353.94667,2.19429,349.51837,-14.979,133.899,0.544,4,1,8,0.748,1,0.713
0,0.668,0.361,1,-8.69,0,0.0273,0.573,0.00506,0.0805,0.288,134.15,242000,5,242,0.44807,222.73161,-8.69,134.15,0.355,5,0.237,1,0.509,0,0.715
